City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,Chino Valley,34.7575,-112.4538,64.0,23,20,5.75,US,2021-04-17 19:48:28
123,Kouroussa,10.65,-9.8833,75.33,81,100,2.64,GN,2021-04-17 19:48:28
124,Iberia,29.9502,-91.7507,64.4,77,40,14.97,US,2021-04-17 19:48:29
125,Rumonge,-3.9736,29.4386,71.37,87,100,2.62,BI,2021-04-17 19:48:29
126,Ahtopol,42.1,27.95,48.2,76,0,9.22,BG,2021-04-17 19:48:30
127,Dhidhdhoo,6.8833,73.1,84.38,70,22,4.76,MV,2021-04-17 19:48:30
128,Mitu,1.1983,-70.1733,83.23,66,49,3.47,CO,2021-04-17 19:48:24
129,Umm Lajj,25.0213,37.2685,81.57,55,0,6.02,SA,2021-04-17 19:48:31
130,Port Alfred,-33.5906,26.891,65.12,69,17,15.61,ZA,2021-04-17 19:48:31
131,Oranjemund,-28.55,16.4333,73.92,47,75,0.83,NA,2021-04-17 19:48:32
132,Mahebourg,-20.4081,57.7,77.0,94,75,4.74,MU,2021-04-17 19:48:32
133,San Policarpo,12.1791,125.5072,77.4,94,100,28.27,PH,2021-04-17 19:48:33
134,Port Elizabeth,-33.918,25.5701,62.6,88,0,2.3,ZA,2021-04-17 19:48:18
135,New Norfolk,-42.7826,147.0587,54.0,79,99,5.01,AU,2021-04-17 19:48:33
136,College,64.8569,-147.8028,39.2,56,1,2.51,US,2021-04-17 19:48:34
137,Ribeira Grande,38.5167,-28.7,64.4,94,20,11.5,PT,2021-04-17 19:48:15
138,Saskylakh,71.9167,114.0833,7.54,94,100,11.43,RU,2021-04-17 19:47:42
139,Nelson Bay,-32.7167,152.15,54.0,100,90,11.5,AU,2021-04-17 19:48:34
140,Shumyachi,53.8583,32.4242,47.34,93,100,10.22,RU,2021-04-17 19:48:35
141,Barrow,71.2906,-156.7887,26.6,80,1,13.8,US,2021-04-17 19:47:35
142,Xochistlahuaca,16.7833,-98.25,97.0,21,64,9.6,MX,2021-04-17 19:48:35
143,Flin Flon,54.7682,-101.865,50.0,43,75,9.22,CA,2021-04-17 19:48:36
144,Asfi,32.2994,-9.2372,63.82,83,7,16.71,MA,2021-04-17 19:48:36
145,General Bravo,25.8,-99.1667,60.53,75,100,20.45,MX,2021-04-17 19:48:37
146,Grand Haven,43.0631,-86.2284,53.6,37,40,10.36,US,2021-04-17 19:47:25
147,Beringovskiy,63.05,179.3167,32.88,98,100,15.61,RU,2021-04-17 19:48:37
148,Krasnoselkup,65.7,82.4667,-7.83,94,68,13.31,RU,2021-04-17 19:48:38
149,Basoko,1.2391,23.616,74.43,91,100,3.58,CD,2021-04-17 19:48:38
150,Pangnirtung,66.1451,-65.7125,8.6,72,75,1.52,CA,2021-04-17 19:48:39
151,Palmer,42.1584,-72.3287,50.0,62,75,8.05,US,2021-04-17 19:48:39
152,Sur,22.5667,59.5289,83.68,55,91,6.42,OM,2021-04-17 19:48:39
153,Charters Towers,-20.1,146.2667,67.48,85,4,7.99,AU,2021-04-17 19:48:40
154,Khatanga,71.9667,102.5,0.9,96,100,10.49,RU,2021-04-17 19:47:23
155,Tezu,27.9167,96.1667,67.44,73,69,2.82,IN,2021-04-17 19:48:40
156,Naze,28.3667,129.4833,59.02,55,69,19.04,JP,2021-04-17 19:48:41
157,Otradnoye,59.7775,30.8181,48.2,34,0,8.95,RU,2021-04-17 19:48:41
158,Vila Franca Do Campo,37.7167,-25.4333,64.4,94,75,10.36,PT,2021-04-17 19:48:42
159,Bredasdorp,-34.5322,20.0403,53.6,94,0,2.3,ZA,2021-04-17 19:48:09
160,Thunder Bay,48.4001,-89.3168,53.6,19,40,12.66,CA,2021-04-17 19:45:09
161,Lavrentiya,65.5833,-171.0,31.62,89,100,11.45,RU,2021-04-17 19:48:43
162,Tuktoyaktuk,69.4541,-133.0374,24.8,80,40,8.05,CA,2021-04-17 19:47:26
163,Sakakah,29.9697,40.2064,80.6,22,0,8.05,SA,2021-04-17 19:48:43
164,Bend,44.0582,-121.3153,66.99,15,1,8.05,US,2021-04-17 19:45:37
165,Berezanka,46.8526,31.388,45.72,63,97,3.22,UA,2021-04-17 19:48:44
166,Lorengau,-2.0226,147.2712,80.4,77,66,12.35,PG,2021-04-17 19:48:44
167,Souillac,-20.5167,57.5167,77.0,94,75,3.11,MU,2021-04-17 19:48:45
168,Bethel,41.3712,-73.414,50.0,59,100,6.58,US,2021-04-17 19:48:45
169,Nemuro,43.3236,145.575,40.1,97,100,25.79,JP,2021-04-17 19:48:46
170,East London,-33.0153,27.9116,66.22,72,100,15.26,ZA,2021-04-17 19:48:46
171,Ixtapa,20.7,-105.2,82.4,54,1,8.05,MX,2021-04-17 19:48:47
172,Xuddur,4.1213,43.8894,75.07,78,95,12.39,SO,2021-04-17 19:48:47
173,Longyearbyen,78.2186,15.6401,24.8,86,90,26.46,SJ,2021-04-17 19:48:47
174,Cherskiy,68.75,161.3,18.25,72,2,24.27,RU,2021-04-17 19:48:48
175,Kikuchi,32.9833,130.8167,46.99,61,0,4.0,JP,2021-04-17 19:48:48
176,Alofi,-19.0595,-169.9187,73.4,94,12,1.14,NU,2021-04-17 19:47:42
177,Dubbo,-32.25,148.6167,44.6,93,75,6.91,AU,2021-04-17 19:44:17
178,Usinsk,65.9939,57.5281,13.03,89,21,13.71,RU,2021-04-17 19:48:49
179,Prado,-17.3411,-39.2208,77.63,74,43,8.3,BR,2021-04-17 19:48:49
180,Gwadar,25.1216,62.3254,79.79,79,2,5.59,PK,2021-04-17 19:44:23
181,Tura,25.5198,90.2201,67.32,82,0,3.85,IN,2021-04-17 19:48:50
182,Dakar,14.6937,-17.4441,69.8,83,0,16.11,SN,2021-04-17 19:47:14
183,Mana,5.6592,-53.7767,81.03,75,99,13.89,GF,2021-04-17 19:48:51
184,Neustadt,49.7117,12.0872,39.2,75,90,3.38,DE,2021-04-17 19:48:51
185,Vilhena,-12.7406,-60.1458,71.6,100,40,8.05,BR,2021-04-17 19:48:52
186,Caraballeda,10.6112,-66.8522,87.8,66,40,4.61,VE,2021-04-17 19:48:52
187,Hami,42.8,93.45,62.82,13,95,6.44,CN,2021-04-17 19:48:52
188,Lixourion,38.2019,20.4314,61.59,89,66,5.59,GR,2021-04-17 19:48:53
189,Vazante,-17.9869,-46.9078,79.3,50,64,2.91,BR,2021-04-17 19:48:53
190,Hobyo,5.3505,48.5268,83.52,67,6,14.14,SO,2021-04-17 19:48:06
191,Kaitangata,-46.2817,169.8464,50.0,75,100,1.99,NZ,2021-04-17 19:48:54
