City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
440,Koudougou,BF,overcast clouds,86.47,12.25,-2.3667,VAREK OCADES
444,Wamba,NG,overcast clouds,81.68,8.9333,8.6,Roma Zee Guest House Annex
445,Kavaratti,IN,broken clouds,84.24,10.5669,72.642,Hotels in Lakshadweep Islands
446,Kafanchan,NG,overcast clouds,79.0,9.5833,8.3,Metro Guest Inn
447,Massakory,TD,overcast clouds,88.45,12.995999999999999,15.7293,
450,Dong Hoi,VN,few clouds,83.84,17.4833,106.6,Nam Long Hotel
452,Nhulunbuy,AU,heavy intensity rain,82.4,-12.2333,136.7667,East Arnhem Real Estate
454,Kulhudhuffushi,MV,overcast clouds,84.31,6.6221,73.07,Haajy Guest House 1
457,Fayaoue,NC,overcast clouds,77.38,-20.65,166.5333,Chez Dydyce Guesthouse
461,Sweetwater,US,overcast clouds,78.8,25.7634,-80.3731,Li'l Abner Mobile Home Park
462,Meulaboh,ID,overcast clouds,85.48,4.1363,96.1285,Kost Pria
466,Namatanai,PG,light rain,82.76,-3.6667,152.4333,Namatanai Hotel
467,Khandbari,NP,overcast clouds,86.94,27.3747,87.2039,Sainik Hotel And Lodge
475,Ambon,ID,scattered clouds,89.6,-3.6954,128.1814,Swiss-Belhotel Ambon
480,Moerai,PF,light rain,76.8,-22.4333,-151.3333,Le Manotel
487,Oranjestad,AW,few clouds,80.01,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
490,La Asuncion,VE,scattered clouds,76.14,11.0333,-63.8628,Colinas de Matasiete
496,Aneho,TG,scattered clouds,82.4,6.2333,1.6,Hotel La Linette
501,Piacabucu,BR,broken clouds,75.34,-10.4056,-36.4344,Piaçabuçu News
502,Karratha,AU,clear sky,88.86,-20.7377,116.8463,ibis Styles Karratha
510,Sambava,MG,light rain,78.85,-14.2667,50.1667,Melrose
511,Vanimo,PG,light rain,82.8,-2.6741,141.3028,Vahmoneh Lodge Vanimo
514,Owerri,NG,overcast clouds,81.19,5.4833,7.0304,Donamario
516,Cabatuan,PH,overcast clouds,89.1,10.8794,122.486,ROREM'S BOARDING HOUSE
519,Lufilufi,WS,moderate rain,75.2,-13.8745,-171.5986,Leuaina Beach Resort and Spa
520,Makakilo City,US,overcast clouds,78.01,21.3469,-158.0858,Marriott's Ko Olina Beach Club
523,Cabedelo,BR,few clouds,75.2,-6.9811,-34.8339,Hotel Pigalle
532,Haimen,CN,clear sky,86.0,23.1935,116.6142,Jinghao Business Hotel
533,Dicabisagan,PH,moderate rain,79.9,17.0818,122.4157,Nancy Montanes Bernardo
537,Sao Jose Da Coroa Grande,BR,overcast clouds,77.36,-8.8978,-35.1478,Crôa Mares Hotel
539,Raga,SS,overcast clouds,86.09,8.4596,25.678,
543,Umm Lajj,SA,few clouds,83.73,25.0213,37.2685,Moon light Furnished Units
544,Jizan,SA,scattered clouds,89.6,17.3333,42.6667,شهدان. ابوالحجر
545,Kimbe,PG,broken clouds,82.53,-5.5502,150.1429,Kimbe Bay Hotel
550,Itoman,JP,broken clouds,75.2,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
555,Sinnamary,GF,light rain,76.39,5.3833,-52.95,ALETHEIA Appartement Sinnamary
556,Nanakuli,US,overcast clouds,77.0,21.3906,-158.1547,Camp Pālehua
557,Balikpapan,ID,overcast clouds,84.81,-1.2675,116.8289,ibis Balikpapan
