City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Date
116,Waltershausen,50.9,10.5667,50.0,clear sky,80,0,5.01,DE,2021-04-21 06:38:30
117,Manakara,-22.1333,48.0167,77.58,broken clouds,67,78,3.98,MG,2021-04-21 06:38:31
118,Khatanga,71.9667,102.5,12.06,overcast clouds,84,100,8.03,RU,2021-04-21 06:38:31
119,Rheda-Wiedenbruck,51.8497,8.3002,46.0,clear sky,86,1,2.44,DE,2021-04-21 06:38:31
120,Anadyr,64.75,177.4833,19.4,few clouds,93,20,2.19,RU,2021-04-21 06:38:32
121,Port Hardy,50.6996,-127.4199,48.2,few clouds,100,20,4.61,CA,2021-04-21 06:38:32
122,Sao Jose Do Belmonte,-7.8614,-38.7597,67.6,overcast clouds,91,86,2.8,BR,2021-04-21 06:38:33
123,Puri,19.8,85.85,96.8,haze,49,40,9.22,IN,2021-04-21 06:38:33
124,Tuatapere,-46.1333,167.6833,48.0,overcast clouds,95,100,7.0,NZ,2021-04-21 06:38:33
125,Santa Maria,-29.6842,-53.8069,57.42,clear sky,96,2,7.38,BR,2021-04-21 06:38:34
126,Maarianhamina,60.0973,19.9348,46.4,clear sky,46,0,8.05,AX,2021-04-21 06:38:34
127,Saint-Philippe,-21.3585,55.7679,78.8,light rain,83,75,11.5,RE,2021-04-21 06:38:34
128,Yinchuan,38.4681,106.2731,70.99,overcast clouds,32,87,5.82,CN,2021-04-21 06:38:35
129,Mahebourg,-20.4081,57.7,82.4,light rain,74,75,13.8,MU,2021-04-21 06:38:35
130,Bambous Virieux,-20.3428,57.7575,82.4,light rain,74,75,13.8,MU,2021-04-21 06:38:36
131,Poum,-20.2333,164.0167,78.37,scattered clouds,79,43,8.37,NC,2021-04-21 06:38:36
132,Havre-Saint-Pierre,50.2334,-63.5986,32.0,snow,100,90,5.75,CA,2021-04-21 06:38:37
133,Luganville,-15.5333,167.1667,81.23,overcast clouds,82,100,5.26,VU,2021-04-21 06:38:37
134,San Ignacio,17.1561,-89.0714,77.0,broken clouds,88,75,4.61,BZ,2021-04-21 06:38:37
135,Kodiak,57.79,-152.4072,41.0,overcast clouds,87,90,13.8,US,2021-04-21 06:38:38
136,Denpasar,-8.65,115.2167,86.0,scattered clouds,66,40,11.5,ID,2021-04-21 06:38:38
137,Ulladulla,-35.35,150.4667,64.4,clear sky,48,0,11.5,AU,2021-04-21 06:38:38
138,Cabo San Lucas,22.8909,-109.9124,66.99,clear sky,76,3,5.86,MX,2021-04-21 06:38:39
139,Lebu,-37.6167,-73.65,54.03,overcast clouds,94,99,8.25,CL,2021-04-21 06:38:39
140,Port-Cartier,50.0334,-66.8654,37.99,overcast clouds,100,90,4.61,CA,2021-04-21 06:38:40
141,Kalmunai,7.4167,81.8167,88.54,broken clouds,58,59,8.32,LK,2021-04-21 06:38:40
142,Kroya,-7.6331,109.2461,86.32,clear sky,58,4,11.48,ID,2021-04-21 06:38:40
143,Kununurra,-15.7667,128.7333,93.2,scattered clouds,26,40,9.22,AU,2021-04-21 06:37:12
144,Airai,-8.9266,125.4092,66.87,overcast clouds,81,100,1.99,TL,2021-04-21 06:38:41
145,Makasar,-5.14,119.4221,87.8,few clouds,58,20,9.22,ID,2021-04-21 06:37:42
146,Cap Malheureux,-19.9842,57.6142,81.0,overcast clouds,77,100,10.0,MU,2021-04-21 06:38:42
147,Cururupu,-1.8283,-44.8683,72.95,overcast clouds,97,100,1.83,BR,2021-04-21 06:38:42
148,Ponta Do Sol,32.6667,-17.1,57.0,broken clouds,69,81,3.0,PT,2021-04-21 06:38:42
149,Sokolo,14.7328,-6.1219,85.1,broken clouds,12,68,7.31,ML,2021-04-21 06:38:43
150,Nadym,65.5333,72.5167,26.92,overcast clouds,85,89,13.06,RU,2021-04-21 06:36:55
151,Victoria,22.2855,114.1577,80.6,few clouds,54,20,13.8,HK,2021-04-21 06:36:36
152,Zhuanghe,39.7008,122.9911,58.98,overcast clouds,44,100,6.73,CN,2021-04-21 06:38:43
153,Parys,48.8534,2.3488,48.99,clear sky,76,0,4.61,FR,2021-04-21 06:38:44
154,Madimba,-10.4,40.3333,77.0,few clouds,78,20,23.02,TZ,2021-04-21 06:38:44
155,Upernavik,72.7868,-56.1549,5.56,overcast clouds,86,94,6.69,GL,2021-04-21 06:38:45
156,Morant Bay,17.8815,-76.4093,78.8,few clouds,69,20,9.22,JM,2021-04-21 06:38:45
157,Nouadhibou,20.931,-17.0347,62.6,clear sky,88,0,17.27,MR,2021-04-21 06:38:46
158,Shelburne,44.0787,-80.2041,32.0,overcast clouds,82,100,8.25,CA,2021-04-21 06:38:46
159,Albury,-36.0833,146.9167,60.8,clear sky,41,2,4.61,AU,2021-04-21 06:38:37
160,Carnarvon,-24.8667,113.6333,86.0,overcast clouds,48,100,12.66,AU,2021-04-21 06:38:47
161,Huambo,-12.7761,15.7392,63.19,few clouds,64,22,5.12,AO,2021-04-21 06:38:47
162,Biberach,48.0934,9.7905,42.01,mist,87,1,2.3,DE,2021-04-21 06:38:47
163,Camargo,27.6667,-105.1667,64.62,few clouds,22,23,6.44,MX,2021-04-21 06:38:48
164,Tiksi,71.6872,128.8694,17.98,light snow,93,100,12.06,RU,2021-04-21 06:38:48
165,Talavera De La Reina,39.9635,-4.8308,51.84,overcast clouds,75,100,2.75,ES,2021-04-21 06:38:49
166,Brigg,53.552,-0.4921,48.2,broken clouds,76,75,16.11,GB,2021-04-21 06:38:49
167,New Norfolk,-42.7826,147.0587,55.0,overcast clouds,61,88,5.01,AU,2021-04-21 06:38:49
168,Bagdarin,54.4333,113.6,36.75,overcast clouds,65,100,7.02,RU,2021-04-21 06:38:50
169,Grand Gaube,-20.0064,57.6608,81.0,overcast clouds,77,99,10.0,MU,2021-04-21 06:38:50
170,Del Rio,29.3627,-100.8968,60.8,clear sky,41,1,4.61,US,2021-04-21 06:34:58
171,Asbe Teferi,9.0833,40.8667,75.52,overcast clouds,43,99,5.28,ET,2021-04-21 06:38:51
172,Butaritari,3.0707,172.7902,82.69,light rain,77,100,18.99,KI,2021-04-21 06:38:51
173,Souillac,-20.5167,57.5167,82.4,light rain,74,75,13.8,MU,2021-04-21 06:38:51
174,Pemangkat,1.1667,108.9667,85.5,clear sky,65,7,8.66,ID,2021-04-21 06:38:52
175,Saint-Paul,-21.0096,55.2707,80.6,broken clouds,74,75,14.97,RE,2021-04-21 06:38:52
176,Semnan,35.5729,53.3971,81.54,scattered clouds,16,50,5.91,IR,2021-04-21 06:38:52
177,Dikson,73.5069,80.5464,19.29,overcast clouds,92,100,22.41,RU,2021-04-21 06:38:53
178,Gannavaram,16.5333,80.8,98.6,scattered clouds,47,40,4.61,IN,2021-04-21 06:38:53
179,General Pico,-35.6566,-63.7568,63.23,broken clouds,75,84,18.57,AR,2021-04-21 06:36:16
180,Raudeberg,61.9875,5.1352,37.99,overcast clouds,94,100,26.19,NO,2021-04-21 06:38:54
181,Leningradskiy,69.3833,178.4167,28.74,clear sky,71,5,8.39,RU,2021-04-21 06:38:54
182,Husavik,66.0449,-17.3389,39.2,overcast clouds,60,90,9.22,IS,2021-04-21 06:38:55
183,Pundaguitan,6.3711,126.1689,84.34,overcast clouds,69,98,10.6,PH,2021-04-21 06:38:55
184,Roald,62.5833,6.1333,39.2,light rain,87,75,18.41,NO,2021-04-21 06:38:56
185,Ghanzi,-21.5667,21.7833,64.04,clear sky,45,0,13.94,BW,2021-04-21 06:38:56
186,Fortuna,40.5982,-124.1573,50.0,overcast clouds,88,89,5.32,US,2021-04-21 06:38:56
187,Vao,-22.6667,167.4833,73.71,clear sky,68,5,9.26,NC,2021-04-21 06:38:57
188,Richards Bay,-28.783,32.0377,71.76,clear sky,69,8,6.62,ZA,2021-04-21 06:38:57
189,Lavumisa,-27.31,31.892,59.0,clear sky,100,0,2.82,SZ,2021-04-21 06:38:57
190,Urumqi,43.801,87.6005,66.2,clear sky,34,0,8.95,CN,2021-04-21 06:36:10
191,Brae,60.3964,-1.353,41.0,few clouds,56,20,14.97,GB,2021-04-21 06:38:58
192,Greymouth,-42.4667,171.2,54.63,few clouds,85,11,6.46,NZ,2021-04-21 06:38:58
193,Paita,-5.0892,-81.1144,70.36,overcast clouds,76,99,12.86,PE,2021-04-21 06:38:59
194,Hirara,24.8,125.2833,71.6,broken clouds,100,75,13.8,JP,2021-04-21 06:38:59
195,Henties Bay,-22.116,14.2845,71.01,few clouds,75,12,3.4,NA,2021-04-21 06:39:00
196,Galle,6.0367,80.217,84.81,overcast clouds,67,100,10.51,LK,2021-04-21 06:39:00
197,Kalabo,-14.97,22.6814,70.63,clear sky,56,1,9.46,ZM,2021-04-21 06:39:00
198,Tineo,43.3376,-6.4145,55.0,broken clouds,87,75,1.14,ES,2021-04-21 06:39:01
199,Bud,39.447,-86.1758,30.0,few clouds,97,23,7.27,US,2021-04-21 06:39:01
200,Graulhet,43.7669,1.9894,53.6,overcast clouds,76,96,12.66,FR,2021-04-21 06:39:02
201,Lumeje,-11.55,20.7833,69.24,scattered clouds,61,44,7.96,AO,2021-04-21 06:39:02
202,Comodoro Rivadavia,-45.8667,-67.5,53.6,moderate rain,87,90,6.29,AR,2021-04-21 06:39:02
203,Tahta,26.7693,31.5021,78.8,clear sky,34,0,8.05,EG,2021-04-21 06:39:03
204,Tuktoyaktuk,69.4541,-133.0374,14.0,snow,79,90,19.57,CA,2021-04-21 06:39:03
